Relative Humidity,Soil temp.,Soil Wetness,Max temp.,Min temp.,Average temp.,Rainfall,class 
83.81,16.51,0.6,30.24,14.62,20.94,73.83,0
81.44,16.98,0.55,32.58,14.81,22.02,26.37,0
82.19,18.19,0.52,32.07,16.63,22.54,68.55,0
86.69,17.47,0.61,30.9,15.3,21.37,195.12,1
86.19,16.4,0.65,28.4,12.68,19.93,21.09,1
86.25,15.44,0.52,29.19,11.75,19.58,26.37,1
85.06,14.94,0.46,29.19,10.4,19.33,0,1
83.5,15.73,0.38,30.69,11.69,20.3,0,1
81.31,16.23,0.38,31.87,12.7,20.94,31.64,1
80.38,16.91,0.4,32.63,14.12,22.12,73.83,0
85.44,17.06,0.56,30.05,15.33,21.32,131.84,1
80.88,16.14,0.53,30.6,13.35,21.15,52.73,1
78.19,16.37,0.47,31.26,13.87,21.5,5.27,0
74.81,17.22,0.45,33.07,13.61,22.32,47.46,0
74,17.79,0.38,32.58,15.13,23,21.09,0
83.06,17.78,0.48,31.2,15.13,22.23,84.32,1
84.94,16.82,0.52,31.19,13.79,20.23,85.45,1
81.94,16.1,0.46,28.96,11.67,19.31,7.81,0
82.62,15.3,0.4,27.87,10.62,18.79,21.49,0
77.06,16.15,0.34,33.5,12.12,19.9,15.37,0
74,17.91,0.27,32.12,13.03,21.21,7.75,0
73.69,18.49,0.33,32.3,13.65,22.36,28.51,0
76.81,18.38,0.4,32.26,14.51,22.46,54.02,0
84.69,16.66,0.53,29.21,14.76,20.81,137.37,1
