Relative Humidity,Soil temp.,Soil Wetness,Max temp.,Min temp.,Average temp.,Rainfall,class 
75.12,16.23,0.62,28.49,14.25,19.9,116.02,0
77.81,15.54,0.6,29.37,11.83,19.83,52.73,1
82,17.38,0.48,31.54,15.4,21.98,10.55,1
74.5,17.35,0.58,30.96,14.15,21.24,168.75,0
78.31,17.04,0.71,27.58,15.41,20.57,195.12,0
75.19,16.69,0.61,28.52,13.24,20.03,26.37,0
74.81,15.27,0.48,29.59,10.74,19.12,0,0
70.06,14.91,0.35,30.35,10.23,18.91,0,0
76.69,15.59,0.29,29.52,11.8,19.41,0,0
81.12,16.95,0.33,32.08,11.76,20.62,10.55,1
77.94,17.37,0.43,30.81,12.97,21.12,52.73,1
72.5,16.6,0.55,29.87,14.81,20.72,121.29,0
78.25,15.81,0.58,28.43,12.77,19.98,84.38,0
81.69,16.62,0.52,31.62,12.69,21,52.73,1
85.69,18.19,0.4,33.19,13.13,22.36,0,1
80.5,18.54,0.38,33.94,13.6,22.63,52.73,1
86.31,17.86,0.51,30.99,14.9,21.85,79.1,1
83.75,17.12,0.55,29.35,14.05,20.58,79.1,1
82.75,16.37,0.49,30.39,11.15,19.56,5.27,1
81.75,15.29,0.44,27.92,9.86,18.65,5.27,0
85.12,16.32,0.38,30.93,10.15,19.52,10.55,1
85.5,17.44,0.29,30.61,12.9,20.63,0,0
84.62,17.92,0.34,31.66,13.34,21.63,26.37,1
82.38,16.62,0.47,30.51,14.26,21.06,73.83,1
82.25,16.64,0.51,30.57,12.44,20.76,79.1,0
81.25,17.55,0.45,31.37,12.94,21.26,10.55,0
82.31,19.84,0.33,34.06,14.36,22.9,5.27,1
80.19,19.92,0.3,33.7,14.4,23.15,15.82,0
83.12,18.31,0.52,31.66,15.69,21.8,163.48,1
82.06,16.93,0.56,28.12,12.11,20.02,63.28,1
82.88,16.13,0.48,27.76,11.65,19.12,0,1
76.56,15.44,0.45,29.4,9.98,18.44,5.27,0
84.69,15.61,0.35,28.57,9.44,18.7,5.27,0
84.44,16.67,0.37,31.13,10.91,19.79,0,1
82.81,17.08,0.4,31.08,11.75,20.81,73.83,1
77.88,16.42,0.53,28.46,14.13,20.3,94.92,0
83.62,16.39,0.56,28.26,14.28,20.04,89.65,1
82.5,16.13,0.62,27.55,11.8,19.63,147.66,0
78.5,16.55,0.59,30.28,12.38,20.32,36.91,0
72.25,17.35,0.49,31.44,12.44,21.5,42.19,0
78.88,17.6,0.48,30.88,14.62,21.73,36.91,1
83.62,16.78,0.52,29.36,12.44,20.55,84.38,1
83.5,15.46,0.48,28.4,12.07,19.01,10.55,1
78.25,14.87,0.39,28.02,9.4,18.33,0,0
75.06,15.69,0.34,29.12,9.06,18.83,0,0
67.38,17.51,0.3,31.14,10.81,19.87,0,0
71.56,18.27,0.36,31.08,13.24,20.85,42.19,0
81.88,17.13,0.49,30.81,13.81,21.15,94.92,1
83.06,16.59,0.55,29.38,13.73,20.6,73.83,1
67.56,17.94,0.45,31.45,13.4,21.47,15.82,0
59.75,19.36,0.42,33.28,12.82,22.32,47.46,0
67.75,19.47,0.45,32.3,13.39,22.36,58.01,0
78.69,18.38,0.5,31.01,13.26,21.64,110.74,0
84.75,16.34,0.58,28.12,13.35,19.83,63.28,1
82,15.83,0.48,29.12,10.87,19.21,5.27,1
81.06,14.98,0.44,28.78,10.69,18.66,15.82,1
78.06,15.9,0.37,29.42,11.54,19.51,5.27,0
73.12,17.4,0.37,30.33,11.36,20.02,10.55,0
76.25,17.9,0.45,30.96,12.68,21.35,47.46,0
86.38,16.86,0.62,28.59,14.91,20.29,216.21,1
83.75,15.76,0.69,26.46,11.83,19.39,126.56,1
72,15.82,0.55,30.01,11.34,19.99,15.82,0
71.06,18,0.48,31.85,12.64,21.99,42.19,0
80.25,17.12,0.57,31.65,12.96,21.12,158.2,1
82.56,17.71,0.55,30.07,14.9,21.37,100.2,1
85.94,16.69,0.59,28.75,13.4,20.05,94.92,1
82.06,15.89,0.5,29.51,11.52,19.05,5.27,1
81.56,15.09,0.42,28.53,11.12,18.93,0,1
77.19,15.95,0.4,29.35,10.6,19.33,21.09,0
76.75,16.73,0.38,30.98,11.82,20.38,10.55,0
80.19,17.02,0.46,31.25,13.36,20.81,94.92,1
84.94,16.65,0.57,28.81,13.02,20.17,105.47,1
83.62,16.09,0.55,28.67,12.56,19.98,68.55,0
77.81,16.09,0.51,29.28,12.81,20.23,63.28,0
74.56,17.1,0.5,31.49,13.81,21.49,58.01,1
79.75,17.96,0.53,30.72,14.16,21.81,131.84,0
82.06,17.4,0.56,28.69,14.71,20.94,52.73,1
83.31,16.73,0.51,29.35,13.68,20.26,36.91,1
84.31,15.33,0.48,29.45,10.83,18.87,10.55,1
82.12,14.85,0.45,28.32,9.2,18.26,26.37,1
78.31,15.59,0.39,30.54,10.26,18.85,10.55,0
76.44,16.87,0.38,30.87,10.2,20.33,0,0
74.38,17.13,0.38,30.81,11.69,20.65,5.27,0
83.94,16.4,0.52,30.6,14.1,20.47,163.48,1
77.88,16.27,0.53,29.87,12.12,20.21,15.82,0
67.06,17.64,0.42,31.46,13.11,21.42,5.27,0
50.88,19.37,0.25,33.26,12.54,22.44,0,0
65.69,20.08,0.27,33.78,14.04,23.12,21.09,0
84,17.49,0.58,31.81,15.21,21.1,189.84,1
84,16.3,0.61,27.44,11.27,19.38,58.01,1
83,15.84,0.5,27.4,12.56,19.29,5.27,0
81.62,15.38,0.45,28.19,10.88,18.8,0,1
75.81,16.37,0.34,30.91,10.92,19.67,0,0
66.81,18.55,0.29,32.26,11.29,21.02,0,0
81.69,17.26,0.51,29.7,13.62,20.49,174.02,1
88.38,16.27,0.74,27.14,15.19,19.96,279.49,1
87.5,15.92,0.81,25.69,15.16,19.62,195.12,1
87.44,16.12,0.86,26.58,14.77,19.88,253.12,1
81.44,16.52,0.81,27.88,12.93,20.55,52.73,1
83.5,17.11,0.69,29.75,14.15,21.3,79.1,1
86.62,17.94,0.66,29.74,15.86,21.62,126.56,1
88.06,16.74,0.73,27.3,13.05,19.88,163.48,1
87.31,15.16,0.66,26.24,10.17,18.48,42.19,1
86.69,14.38,0.53,28.08,10.87,18.2,5.27,1
84.5,14.9,0.46,29.29,11.37,19.05,10.55,0
80.88,15.92,0.36,29.95,11.64,20.37,0,1
78.88,16.43,0.29,32.29,12.98,21.42,0,0
83.94,16.28,0.47,29.93,14.1,20.89,79.1,1
77.94,16.43,0.41,30.77,13.79,21.62,5.27,0
69,17.31,0.34,31.28,12.62,21.95,0,0
58.75,19,0.26,33.96,12.32,22.88,0,0
72.69,19.13,0.45,33.51,14.67,22.45,116.02,0
79.12,18.24,0.49,30.27,13.77,21.46,52.73,1
